Gestion;2014;;;;;;;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;;;;;;;
;;;;;Données;;;;;;;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;01;;;55 824 214;51 328 146;0;51 328 146;56 124 214;50 728 146;0;50 728 146;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;02;;;53 883 826;53 289 107;0;53 289 107;53 883 826;53 289 107;0;53 289 107;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;01;;;96 668 200;89 934 170;0;89 934 170;102 168 200;93 934 170;0;93 934 170;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;02;;;17 391 426;23 206 926;0;23 206 926;17 391 426;23 206 926;0;23 206 926;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;01;;;2 312 000 000;2 233 970 000;0;2 233 970 000;2 312 000 000;2 233 970 000;0;2 233 970 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;01;10;Pensions militaires d'invalidité de victimes de guerre et allocations rattachées;1 490 700 000;1 426 030 000;0;1 426 030 000;1 490 700 000;1 426 030 000;0;1 426 030 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;01;11;Retraite du combattant;821 300 000;807 940 000;0;807 940 000;821 300 000;807 940 000;0;807 940 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;;Retraite du combattant;162 418 953;151 738 953;0;151 738 953;162 418 953;151 738 953;0;151 738 953;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;21;Soins médicaux gratuits et appareillage des mutilés;56 118 953;51 838 953;0;51 838 953;56 118 953;51 838 953;0;51 838 953;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;22;Remboursement des réductions de transport accordées aux invalides;3 300 000;3 400 000;0;3 400 000;3 300 000;3 400 000;0;3 400 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;23;Remboursement des prestations de sécurité sociale aux invalides;103 000 000;96 500 000;0;96 500 000;103 000 000;96 500 000;0;96 500 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;;Remboursement des prestations de sécurité sociale aux invalides;354 080 527;346 832 637;0;346 832 637;354 080 527;346 832 637;0;346 832 637;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;30;Fonds de solidarité pour les anciens combattants d'Afrique du Nord et d'Indochine;0;0;0;0;0;0;0;0;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;31;Majoration des rentes mutualistes des anciens combattants et victimes de guerre;263 100 000;255 000 000;0;255 000 000;263 100 000;255 000 000;0;255 000 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;32;Subventions aux associations et oeuvres diverses;435 300;260 000;0;260 000;435 300;260 000;0;260 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;33;Indemnités, pécules et frais de voyages sur les tombes;110 000;110 000;0;110 000;110 000;110 000;0;110 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;34;Action sociale en faveur du monde combattant : Office national des anciens combattants (ONAC);20 600 000;21 900 000;0;21 900 000;20 600 000;21 900 000;0;21 900 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;35;Office national des anciens combattants (ONAC) : subventions;57 473 494;57 473 494;0;57 473 494;57 473 494;57 473 494;0;57 473 494;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;36;Institution nationale des invalides : subventions;12 361 733;12 089 143;0;12 089 143;12 361 733;12 089 143;0;12 089 143;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;06;;Institution nationale des invalides : subventions;10 000 000;10 000 000;0;10 000 000;10 000 000;10 000 000;0;10 000 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;07;;Institution nationale des invalides : subventions;0;17 800 000;0;17 800 000;0;17 800 000;0;17 800 000;;;;;;;;
Conseil et contrôle de l'État;126;01;;Institution nationale des invalides : subventions;27 053 322;27 285 722;0;27 285 722;27 053 322;27 285 722;0;27 285 722;;;;;;;;
Conseil et contrôle de l'État;126;02;;Institution nationale des invalides : subventions;10 426 534;14 144 134;0;14 144 134;10 426 534;9 994 134;0;9 994 134;;;;;;;;
Conseil et contrôle de l'État;126;03;;Institution nationale des invalides : subventions;1 225 361;1 175 361;0;1 175 361;1 225 361;1 175 361;0;1 175 361;;;;;;;;
Conseil et contrôle de l'État;164;21;;Institution nationale des invalides : subventions;38 096 144;39 431 373;0;39 431 373;38 096 144;39 431 373;0;39 431 373;;;;;;;;
Conseil et contrôle de l'État;164;22;;Institution nationale des invalides : subventions;15 587 261;15 885 579;0;15 885 579;15 587 261;15 885 579;0;15 885 579;;;;;;;;
Conseil et contrôle de l'État;164;23;;Institution nationale des invalides : subventions;58 778 046;60 082 504;0;60 082 504;58 778 046;60 082 504;0;60 082 504;;;;;;;;
Conseil et contrôle de l'État;164;24;;Institution nationale des invalides : subventions;34 092 509;34 659 831;0;34 659 831;34 092 509;34 659 831;0;34 659 831;;;;;;;;
Conseil et contrôle de l'État;164;25;;Institution nationale des invalides : subventions;6 968 040;7 340 853;0;7 340 853;6 968 040;7 340 853;0;7 340 853;;;;;;;;
Conseil et contrôle de l'État;164;26;;Institution nationale des invalides : subventions;4 720 245;4 710 098;0;4 710 098;4 720 245;4 710 098;0;4 710 098;;;;;;;;
Conseil et contrôle de l'État;164;27;;Institution nationale des invalides : subventions;60 716 929;52 818 462;0;52 818 462;60 071 425;54 157 921;0;54 157 921;;;;;;;;
Conseil et contrôle de l'État;165;01;;Institution nationale des invalides : subventions;25 256 739;25 478 036;0;25 478 036;25 256 739;25 478 036;0;25 478 036;;;;;;;;
Conseil et contrôle de l'État;165;02;;Institution nationale des invalides : subventions;48 850 671;49 416 630;0;49 416 630;48 850 671;49 416 630;0;49 416 630;;;;;;;;
Conseil et contrôle de l'État;165;03;;Institution nationale des invalides : subventions;143 930 564;148 321 484;0;148 321 484;143 930 564;148 321 484;0;148 321 484;;;;;;;;
Conseil et contrôle de l'État;165;04;;Institution nationale des invalides : subventions;10 713 296;10 827 726;0;10 827 726;10 713 296;10 827 726;0;10 827 726;;;;;;;;
Conseil et contrôle de l'État;165;05;;Institution nationale des invalides : subventions;15 914 568;16 046 809;0;16 046 809;15 914 568;16 046 809;0;16 046 809;;;;;;;;
Conseil et contrôle de l'État;165;06;;Institution nationale des invalides : subventions;130 535 409;114 081 656;0;114 081 656;103 335 409;102 631 656;0;102 631 656;;;;;;;;
Conseil et contrôle de l'État;165;07;;Institution nationale des invalides : subventions;21 593 148;22 232 112;0;22 232 112;21 593 148;22 232 112;0;22 232 112;;;;;;;;
Conseil et contrôle de l'État;340;01;;Institution nationale des invalides : subventions;0;818 675;0;818 675;0;818 675;0;818 675;;;;;;;;
Culture;131;01;;Institution nationale des invalides : subventions;679 334 391;664 253 386;0;664 253 386;712 868 871;683 123 820;0;683 123 820;;;;;;;;
Culture;131;02;;Institution nationale des invalides : subventions;72 566 545;61 541 273;0;61 541 273;62 492 041;63 349 833;0;63 349 833;;;;;;;;
Culture;175;01;;Institution nationale des invalides : subventions;348 641 935;345 058 382;0;345 058 382;329 317 920;332 057 055;0;332 057 055;;;;;;;;
Culture;175;02;;Institution nationale des invalides : subventions;27 925 738;27 744 912;0;27 744 912;28 025 738;27 844 912;0;27 844 912;;;;;;;;
Culture;175;03;;Institution nationale des invalides : subventions;353 843 581;336 570 012;0;336 570 012;375 839 288;339 470 908;0;339 470 908;;;;;;;;
Culture;175;04;;Institution nationale des invalides : subventions;21 063 162;23 483 512;0;23 483 512;25 166 392;27 069 638;0;27 069 638;;;;;;;;
Culture;175;07;;Institution nationale des invalides : subventions;2 613 833;2 600 833;0;2 600 833;2 613 833;2 600 833;0;2 600 833;;;;;;;;
Culture;175;08;;Institution nationale des invalides : subventions;8 553 013;8 353 013;0;8 353 013;8 553 013;8 353 013;0;8 353 013;;;;;;;;
Culture;175;09;;Institution nationale des invalides : subventions;7 206 000;16 857 372;0;16 857 372;7 261 000;8 754 000;0;8 754 000;;;;;;;;
Culture;224;01;;Institution nationale des invalides : subventions;218 178 658;239 059 564;0;239 059 564;232 238 500;248 939 564;0;248 939 564;;;;;;;;
Culture;224;02;;Institution nationale des invalides : subventions;83 737 114;78 984 365;0;78 984 365;83 737 114;78 984 365;0;78 984 365;;;;;;;;
Culture;224;03;;Institution nationale des invalides : subventions;21 921 000;15 000 000;0;15 000 000;21 921 000;15 000 000;0;15 000 000;;;;;;;;
Culture;224;06;;Institution nationale des invalides : subventions;6 150 932;5 992 059;0;5 992 059;6 150 932;5 992 059;0;5 992 059;;;;;;;;
Culture;224;07;;Institution nationale des invalides : subventions;743 763 745;742 153 665;0;742 153 665;741 848 035;740 415 157;0;740 415 157;;;;;;;;
Défense;144;03;;Institution nationale des invalides : subventions;739 513 841;681 793 680;0;681 793 680;695 023 532;743 910 933;0;743 910 933;;;;;;;;
Défense;144;03;31;Renseignement extérieur;644 527 401;588 607 996;0;588 607 996;600 039 593;650 725 249;0;650 725 249;;;;;;;;
Défense;144;03;32;Renseignement de sécurité de défense;94 986 440;93 185 684;0;93 185 684;94 983 939;93 185 684;0;93 185 684;;;;;;;;
Défense;144;07;;Renseignement de sécurité de défense;1 112 706 750;1 181 444 133;0;1 181 444 133;1 080 268 568;1 119 205 776;0;1 119 205 776;;;;;;;;
Défense;144;07;01;Analyse stratégique;8 109 001;6 078 599;0;6 078 599;5 109 753;6 891 603;0;6 891 603;;;;;;;;
Défense;144;07;02;Prospective des systèmes de forces;32 945 775;33 396 120;0;33 396 120;32 944 700;33 306 557;0;33 306 557;;;;;;;;
Défense;144;07;03;Etudes amont;732 312 598;809 273 115;0;809 273 115;702 874 739;746 311 317;0;746 311 317;;;;;;;;
Défense;144;07;04;Gestion des moyens et subventions;339 339 376;332 696 299;0;332 696 299;339 339 376;332 696 299;0;332 696 299;;;;;;;;
Défense;144;08;;Gestion des moyens et subventions;130 523 362;116 303 601;0;116 303 601;129 976 908;116 303 601;0;116 303 601;;;;;;;;
Défense;144;08;01;Soutien aux exportations;15 400 427;14 492 519;0;14 492 519;15 128 957;14 492 519;0;14 492 519;;;;;;;;
Défense;144;08;02;Diplomatie de défense;115 122 935;101 811 082;0;101 811 082;114 847 951;101 811 082;0;101 811 082;;;;;;;;
Défense;146;06;;Diplomatie de défense;2 434 073 675;2 415 487 104;0;2 415 487 104;2 496 133 875;1 900 743 819;0;1 900 743 819;;;;;;;;
Défense;146;06;14;Assurer la crédibilité technique de la dissuasion M51;251 398 498;498 415 865;0;498 415 865;612 424 945;530 372 026;0;530 372 026;;;;;;;;
Défense;146;06;15;Assurer la crédibilité technique de la dissuasion SNLE NG : adaptation M51;7 856 622;0;0;0;200 323 958;180 357 579;0;180 357 579;;;;;;;;
Défense;146;06;17;Assurer la crédibilité technique de la dissuasion - Air sol moyenne portée amélioré (ASMPA);0;34 300 000;0;34 300 000;11 992 532;10 854 695;0;10 854 695;;;;;;;;
Défense;146;06;18;Assurer la crédibilité technique de la dissuasion Simulation;604 592 227;561 990 984;0;561 990 984;611 573 215;50 000 000;0;50 000 000;;;;;;;;
Défense;146;06;19;Assurer la crédibilité technique de la dissuasion - Autres opérations;491 075 637;653 297 316;0;653 297 316;438 070 720;313 453 327;0;313 453 327;;;;;;;;
Défense;146;06;22;Assurer la crédibilité opérationnelle de la dissuasion - soutien et mise en oeuvre des forces - toutes opérations;812 555 334;259 150 519;0;259 150 519;547 819 851;626 446 820;0;626 446 820;;;;;;;;
Défense;146;06;23;Assurer la crédibilité technique de la posture - toutes opérations;245 115 819;408 332 420;0;408 332 420;43 246 553;189 259 372;0;189 259 372;;;;;;;;
Défense;146;07;;Assurer la crédibilité technique de la posture - toutes opérations;1 802 509 452;1 597 265 813;0;1 597 265 813;513 107 816;1 275 958 927;0;1 275 958 927;;;;;;;;
Défense;146;07;24;Commander et conduire - Système de commandement et de conduite des opérations aériennes (SCCOA);56 445 662;213 320 000;0;213 320 000;0;172 262 622;0;172 262 622;;;;;;;;
Défense;146;07;25;Commander et conduire - Système d'information TERRE;11 134 000;3 430 000;0;3 430 000;47 063 812;60 806 034;0;60 806 034;;;;;;;;
Défense;146;07;27;Commander et conduire - Données numériques géographiques et 3D (DNG 3D);0;40 000 000;0;40 000 000;29 766 177;38 085 340;0;38 085 340;;;;;;;;
Défense;146;07;28;Commander et conduire - Autres opérations;36 118 523;164 014;0;164 014;54 586 289;53 404 667;0;53 404 667;;;;;;;;
Défense;146;07;29;Commander et conduire - Système d'information des armées (SIA);0;347 000 000;0;347 000 000;46 597 472;93 656 257;0;93 656 257;;;;;;;;
Défense;146;07;32;Communiquer - SYRACUSE III;64 660 400;68 845 000;0;68 845 000;0;105 515 035;0;105 515 035;;;;;;;;
Défense;146;07;33;Communiquer - Moyen d'élongation pour les communications HF interarmées et OTAN en réseau (MELCHIOR);0;5 880 000;0;5 880 000;0;21 609 695;0;21 609 695;;;;;;;;
Défense;146;07;35;Communiquer - Autres opérations;273 875 419;461 629 000;0;461 629 000;0;271 202 783;0;271 202 783;;;;;;;;
Défense;146;07;36;Communiquer - CONTACT;1 025 000 000;0;0;0;0;75 674 075;0;75 674 075;;;;;;;;
Défense;146;07;39;Renseigner, surveiller, acquérir et reconnaître - Autres opérations;335 275 448;456 997 799;0;456 997 799;165 255 223;361 431 519;0;361 431 519;;;;;;;;
Défense;146;07;40;Renseigner, surveiller, acquérir et reconnaître - MUSIS;0;0;0;0;169 838 843;0;0;0;;;;;;;;
Défense;146;07;41;Déploiement des Services de Communicaton t architecture des réseaux de télécommunications sécurisées (DESCARTES);0;0;0;0;0;8 380 704;0;8 380 704;;;;;;;;
Défense;146;07;42;Capacité de Renseignement Electromagnétique Spatiale (CERES);0;0;0;0;0;13 930 196;0;13 930 196;;;;;;;;
Défense;146;08;;Capacité de Renseignement Electromagnétique Spatiale (CERES);822 492 428;1 714 131 748;0;1 714 131 748;962 104 839;936 479 966;0;936 479 966;;;;;;;;
Défense;146;08;42;Projeter les forces - Avion de transport futur (A400M);332 560 647;319 200 000;0;319 200 000;217 212 389;392 704 539;0;392 704 539;;;;;;;;
Défense;146;08;43;Projeter les forces - Autres opérations;38 940 000;46 720 000;0;46 720 000;107 151 260;62 436 219;0;62 436 219;;;;;;;;
Défense;146;08;46;Assurer la mobilité - Rénovation Cougar;0;0;0;0;33 632 433;28 406 930;0;28 406 930;;;;;;;;
Défense;146;08;47;Assurer la mobilité - Hélicoptère NH 90;0;795 849 159;0;795 849 159;427 782 649;281 281 721;0;281 281 721;;;;;;;;
Défense;146;08;48;Assurer la mobilité - Autres opérations;40 032 700;55 998 094;0;55 998 094;48 597 634;45 288 591;0;45 288 591;;;;;;;;
Défense;146;08;51;Maintenir le potentiel ami et autre - Porteur polyvalent terrestre (PPT);0;110 700 000;0;110 700 000;69 915 162;62 434 147;0;62 434 147;;;;;;;;
Défense;146;08;53;Maintenir le potentiel ami et autre - Autres opérations;410 959 081;25 664 495;0;25 664 495;57 556 163;37 996 403;0;37 996 403;;;;;;;;
Défense;146;08;55;Multi-Role transport Tanker (MRTT);0;360 000 000;0;360 000 000;0;25 931 416;0;25 931 416;;;;;;;;
Défense;146;09;;Multi-Role transport Tanker (MRTT);2 155 243 876;3 868 641 316;0;3 868 641 316;4 374 760 733;3 695 338 909;0;3 695 338 909;;;;;;;;
Défense;146;09;56;Frapper à distance - Missile de croisière naval (MDCN);0;0;0;0;191 953 354;181 690 424;0;181 690 424;;;;;;;;
Défense;146;09;58;Frapper à distance - Armement air-sol modulaire (AASM);0;0;0;0;38 764 920;37 731 829;0;37 731 829;;;;;;;;
Défense;146;09;59;Frapper à distance - RAFALE;92 948 941;183 969 361;0;183 969 361;1 209 007 559;1 018 970 168;0;1 018 970 168;;;;;;;;
Défense;146;09;61;Frapper à distance - Autres opérations;1 058 438 808;301 554 932;0;301 554 932;250 377 498;240 270 684;0;240 270 684;;;;;;;;
Défense;146;09;65;Opérer en milieu hostile - Fantassin à équipement et liaisons intégrés (FELIN);0;0;0;0;155 630 822;123 591 429;0;123 591 429;;;;;;;;
Défense;146;09;66;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);0;191 500 000;0;191 500 000;328 819 248;220 136 265;0;220 136 265;;;;;;;;
Défense;146;09;68;Opérer en milieu hostile - Hélicoptère HAP/HAD TIGRE;0;74 489 176;0;74 489 176;210 582 987;207 024 517;0;207 024 517;;;;;;;;
Défense;146;09;69;Opérer en milieu hostile - Future torpille lourde (FTL);0;185 000 000;0;185 000 000;49 274 068;47 790 416;0;47 790 416;;;;;;;;
Défense;146;09;70;Opérer en milieu hostile - Torpille MU 90;0;0;0;0;945 620;7 934 304;0;7 934 304;;;;;;;;
Défense;146;09;71;Opérer en milieu hostile - Evolution Exocet;0;0;0;0;54 447 735;33 009 947;0;33 009 947;;;;;;;;
Défense;146;09;73;Opérer en milieu hostile - Frégates multi-missions (FREMM);0;0;0;0;644 079 376;461 760 113;0;461 760 113;;;;;;;;
Défense;146;09;74;Opérer en milieu hostile - SNA Barracuda;65 694 766;1 754 000 000;0;1 754 000 000;642 787 472;572 937 573;0;572 937 573;;;;;;;;
Défense;146;09;75;Opérer en milieu hostile - Autres opérations et conduire des opérations spéciales;918 139 447;721 127 847;0;721 127 847;527 285 482;504 177 522;0;504 177 522;;;;;;;;
Défense;146;09;77;Opérer en milieu hostile -  SCORPION;20 021 914;457 000 000;0;457 000 000;27 210 300;20 544 090;0;20 544 090;;;;;;;;
Défense;146;09;87;Opérer en milieu hostile - Armement individuel du fantassin (AIF);0;0;0;0;0;0;0;0;;;;;;;;
Défense;146;09;88;Missile Moyenne Portée (MMP);0;0;0;0;0;17 769 628;0;17 769 628;;;;;;;;
Défense;146;09;89;Système de lutte anti-mines marines futur (SLAMF);0;0;0;0;0;0;0;0;;;;;;;;
Défense;146;10;;Système de lutte anti-mines marines futur (SLAMF);612 228 139;453 564 500;0;453 564 500;366 646 596;336 773 667;0;336 773 667;;;;;;;;
Défense;146;10;79;Assurer la sûreté des approches - Autres opérations et assurer la sécurité de l'Etat, de la nation et des citoyens;124 605 459;94 164 838;0;94 164 838;77 191 361;111 415 299;0;111 415 299;;;;;;;;
Défense;146;10;80;Assurer la sûreté des approches - Alerte avancée;0;0;0;0;0;0;0;0;;;;;;;;
Défense;146;10;82;Assurer la protection des forces et des sites - Famille de systèmes sol-air futurs (FSAF);373 930 000;250 600 000;0;250 600 000;115 751 273;81 569 066;0;81 569 066;;;;;;;;
Défense;146;10;83;Assurer la protection des forces et des sites - Rénovation à mi-vie MISTRAL;0;0;0;0;54 168 187;14 974 219;0;14 974 219;;;;;;;;
Défense;146;10;86;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;113 692 680;108 799 662;0;108 799 662;94 440 924;128 815 083;0;128 815 083;;;;;;;;
Défense;146;11;;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;2 228 536 146;2 144 113 605;0;2 144 113 605;2 226 382 136;2 144 113 605;0;2 144 113 605;;;;;;;;
Défense;146;11;89;Soutien DGA et subvention au FSPOEIE;1 969 161 464;1 875 426 436;0;1 875 426 436;1 966 815 905;1 890 211 635;0;1 890 211 635;;;;;;;;
Défense;146;11;90;Investissements pour les opérations d'armement;129 636 500;139 953 625;0;139 953 625;129 828 049;125 168 426;0;125 168 426;;;;;;;;
