Gestion;2014;;;;;;;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;;;;;;;
;;;;Données;;;;;;;;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;04;6;1 147 148;3 271 128;0;3 271 128;1 325 148;3 571 128;0;3 571 128;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;04;7;0;1 500 000;0;1 500 000;0;1 500 000;0;1 500 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;05;6;4 000 000;2 200 000;0;2 200 000;4 000 000;3 200 000;0;3 200 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;06;2;283 118 878;286 336 931;0;286 336 931;283 118 878;286 336 931;0;286 336 931;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;06;3;664 723;664 724;0;664 724;664 723;664 724;0;664 724;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;08;3;4 151 000;903 000;0;903 000;4 151 000;903 000;0;903 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;08;6;36 500;3 248 000;0;3 248 000;36 500;3 248 000;0;3 248 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;01;2;171 532 098;171 532 099;0;171 532 099;171 532 098;171 532 099;0;171 532 099;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;01;3;34 727 621;31 535 628;0;31 535 628;41 168 021;37 976 028;0;37 976 028;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;01;5;200 000;75 000;0;75 000;200 000;75 000;0;75 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;01;6;150 000;1 680 000;0;1 680 000;150 000;1 680 000;0;1 680 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;02;2;14 950 000;14 650 000;0;14 650 000;14 950 000;14 650 000;0;14 650 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;02;3;3 934 063;3 833 211;0;3 833 211;3 934 063;3 833 211;0;3 833 211;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;02;5;100 000;100 000;0;100 000;100 000;100 000;0;100 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;03;2;411 818 970;411 517 491;0;411 517 491;411 818 970;411 517 491;0;411 517 491;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;03;3;19 029 392;18 536 062;0;18 536 062;19 029 392;18 536 062;0;18 536 062;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;03;5;800 000;800 000;0;800 000;800 000;800 000;0;800 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;04;2;41 943 644;41 943 644;0;41 943 644;41 943 644;41 943 644;0;41 943 644;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;04;3;16 292 523;20 879 307;0;20 879 307;15 962 523;20 585 344;0;20 585 344;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;04;5;12 695 609;4 590 000;0;4 590 000;16 985 208;9 043 563;0;9 043 563;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;04;6;564 200;500 000;0;500 000;564 200;500 000;0;500 000;;;;;;;;;
Aide publique au développement;110;01;6;28 050 000;25 757 576;0;25 757 576;109 373 779;97 848 294;0;97 848 294;;;;;;;;;
Aide publique au développement;110;01;7;35 000 000;1 555 416 696;0;1 555 416 696;563 523 797;538 017 755;0;538 017 755;;;;;;;;;
Aide publique au développement;110;02;3;8 306 400;6 906 400;0;6 906 400;7 406 400;7 306 400;0;7 306 400;;;;;;;;;
Aide publique au développement;110;02;6;423 233 838;388 700 000;0;388 700 000;367 526 316;310 976 178;0;310 976 178;;;;;;;;;
Aide publique au développement;110;03;6;417 075;49 410 761;0;49 410 761;56 694 044;102 001 140;0;102 001 140;;;;;;;;;
Aide publique au développement;110;03;7;0;339 462 611;0;339 462 611;56 424 098;59 273 712;0;59 273 712;;;;;;;;;
Aide publique au développement;209;02;3;32 177 450;30 978 870;0;30 978 870;32 177 450;30 978 870;0;30 978 870;;;;;;;;;
Aide publique au développement;209;02;6;577 792 733;567 054 242;0;567 054 242;572 993 572;537 740 898;0;537 740 898;;;;;;;;;
Aide publique au développement;209;05;3;0;0;0;0;5 400 000;5 501 887;0;5 501 887;;;;;;;;;
Aide publique au développement;209;05;6;414 728 840;323 804 026;0;323 804 026;431 395 506;323 804 026;0;323 804 026;;;;;;;;;
Aide publique au développement;209;07;6;688 695 000;710 855 000;0;710 855 000;688 695 000;710 855 000;0;710 855 000;;;;;;;;;
Aide publique au développement;209;08;2;210 085 603;206 180 672;0;206 180 672;210 085 603;206 180 672;0;206 180 672;;;;;;;;;
Aide publique au développement;209;08;6;0;0;0;0;0;0;0;0;;;;;;;;;
Aide publique au développement;209;09;6;11 024 000;2 000 000;0;2 000 000;18 524 000;11 500 000;0;11 500 000;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;01;2;1 883 503;1 626 492;0;1 626 492;1 883 503;1 626 492;0;1 626 492;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;01;3;523 124;1 412 457;0;1 412 457;823 124;812 457;0;812 457;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;01;6;53 417 587;48 289 197;0;48 289 197;53 417 587;48 289 197;0;48 289 197;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;02;3;302 512;302 438;0;302 438;302 512;302 438;0;302 438;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;02;6;53 581 314;52 986 669;0;52 986 669;53 581 314;52 986 669;0;52 986 669;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;01;2;82 222 845;75 191 815;0;75 191 815;82 222 845;75 191 815;0;75 191 815;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;01;3;14 344 355;14 712 355;0;14 712 355;19 844 355;18 712 355;0;18 712 355;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;01;5;68 000;0;0;0;68 000;0;0;0;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;01;6;33 000;30 000;0;30 000;33 000;30 000;0;30 000;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;02;3;7 133 214;10 133 214;0;10 133 214;7 133 214;10 133 214;0;10 133 214;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;02;5;0;0;0;0;0;0;0;0;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;02;6;10 258 212;13 073 712;0;13 073 712;10 258 212;13 073 712;0;13 073 712;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;01;6;2 312 000 000;2 233 970 000;0;2 233 970 000;2 312 000 000;2 233 970 000;0;2 233 970 000;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;3;4 718 953;4 718 953;0;4 718 953;4 718 953;4 718 953;0;4 718 953;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;6;157 700 000;147 020 000;0;147 020 000;157 700 000;147 020 000;0;147 020 000;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;3;69 835 227;69 562 637;0;69 562 637;69 835 227;69 562 637;0;69 562 637;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;6;284 245 300;277 270 000;0;277 270 000;284 245 300;277 270 000;0;277 270 000;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;06;6;10 000 000;10 000 000;0;10 000 000;10 000 000;10 000 000;0;10 000 000;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;07;3;0;0;0;0;0;0;0;0;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;07;5;0;0;0;0;0;0;0;0;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;07;6;0;17 800 000;0;17 800 000;0;17 800 000;0;17 800 000;;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;07;7;0;0;0;0;0;0;0;0;;;;;;;;;
Conseil et contrôle de l'État;126;01;2;25 703 322;25 750 722;0;25 750 722;25 703 322;25 750 722;0;25 750 722;;;;;;;;;
Conseil et contrôle de l'État;126;01;3;1 300 000;1 535 000;0;1 535 000;1 300 000;1 535 000;0;1 535 000;;;;;;;;;
Conseil et contrôle de l'État;126;01;6;50 000;0;0;0;50 000;0;0;0;;;;;;;;;
Conseil et contrôle de l'État;126;02;2;6 311 534;6 264 134;0;6 264 134;6 311 534;6 264 134;0;6 264 134;;;;;;;;;
Conseil et contrôle de l'État;126;02;3;2 565 000;2 880 000;0;2 880 000;2 565 000;2 880 000;0;2 880 000;;;;;;;;;
Conseil et contrôle de l'État;126;02;5;1 550 000;5 000 000;0;5 000 000;1 550 000;850 000;0;850 000;;;;;;;;;
Conseil et contrôle de l'État;126;03;2;725 361;725 361;0;725 361;725 361;725 361;0;725 361;;;;;;;;;
Conseil et contrôle de l'État;126;03;3;500 000;450 000;0;450 000;500 000;450 000;0;450 000;;;;;;;;;
Conseil et contrôle de l'État;164;21;2;36 696 144;38 031 373;0;38 031 373;36 696 144;38 031 373;0;38 031 373;;;;;;;;;
Conseil et contrôle de l'État;164;21;3;1 400 000;1 400 000;0;1 400 000;1 400 000;1 400 000;0;1 400 000;;;;;;;;;
Conseil et contrôle de l'État;164;22;2;15 587 261;15 885 579;0;15 885 579;15 587 261;15 885 579;0;15 885 579;;;;;;;;;
Conseil et contrôle de l'État;164;22;6;0;0;0;0;0;0;0;0;;;;;;;;;
Conseil et contrôle de l'État;164;23;2;58 778 046;60 082 504;0;60 082 504;58 778 046;60 082 504;0;60 082 504;;;;;;;;;
Conseil et contrôle de l'État;164;24;2;34 092 509;34 659 831;0;34 659 831;34 092 509;34 659 831;0;34 659 831;;;;;;;;;
Conseil et contrôle de l'État;164;25;2;6 968 040;7 340 853;0;7 340 853;6 968 040;7 340 853;0;7 340 853;;;;;;;;;
Conseil et contrôle de l'État;164;26;2;4 720 245;4 710 098;0;4 710 098;4 720 245;4 710 098;0;4 710 098;;;;;;;;;
Conseil et contrôle de l'État;164;27;2;32 516 585;27 343 081;0;27 343 081;32 516 585;27 343 081;0;27 343 081;;;;;;;;;
Conseil et contrôle de l'État;164;27;3;27 644 344;24 830 732;0;24 830 732;26 694 254;26 059 218;0;26 059 218;;;;;;;;;
Conseil et contrôle de l'État;164;27;5;506 000;594 649;0;594 649;810 586;705 622;0;705 622;;;;;;;;;
Conseil et contrôle de l'État;164;27;6;50 000;50 000;0;50 000;50 000;50 000;0;50 000;;;;;;;;;
Conseil et contrôle de l'État;165;01;2;25 256 739;25 478 036;0;25 478 036;25 256 739;25 478 036;0;25 478 036;;;;;;;;;
Conseil et contrôle de l'État;165;02;2;48 850 671;49 416 630;0;49 416 630;48 850 671;49 416 630;0;49 416 630;;;;;;;;;
Conseil et contrôle de l'État;165;03;2;143 930 564;148 321 484;0;148 321 484;143 930 564;148 321 484;0;148 321 484;;;;;;;;;
Conseil et contrôle de l'État;165;04;2;10 713 296;10 827 726;0;10 827 726;10 713 296;10 827 726;0;10 827 726;;;;;;;;;
Conseil et contrôle de l'État;165;05;2;15 914 568;16 046 809;0;16 046 809;15 914 568;16 046 809;0;16 046 809;;;;;;;;;
Conseil et contrôle de l'État;165;06;2;37 565 409;38 001 656;0;38 001 656;37 565 409;38 001 656;0;38 001 656;;;;;;;;;
Conseil et contrôle de l'État;165;06;3;80 580 000;60 410 000;0;60 410 000;54 880 000;55 810 000;0;55 810 000;;;;;;;;;
Conseil et contrôle de l'État;165;06;5;12 000 000;15 670 000;0;15 670 000;10 500 000;8 820 000;0;8 820 000;;;;;;;;;
Conseil et contrôle de l'État;165;06;6;390 000;0;0;0;390 000;0;0;0;;;;;;;;;
Conseil et contrôle de l'État;165;07;2;21 593 148;22 232 112;0;22 232 112;21 593 148;22 232 112;0;22 232 112;;;;;;;;;
Conseil et contrôle de l'État;340;01;2;0;368 675;0;368 675;0;368 675;0;368 675;;;;;;;;;
Conseil et contrôle de l'État;340;01;3;0;450 000;0;450 000;0;450 000;0;450 000;;;;;;;;;
Culture;131;01;3;270 114 470;263 769 210;0;263 769 210;270 114 470;263 769 210;0;263 769 210;;;;;;;;;
Culture;131;01;5;3 630 000;16 300 000;0;16 300 000;7 413 894;7 578 338;0;7 578 338;;;;;;;;;
Culture;131;01;6;395 819 918;375 005 989;0;375 005 989;423 050 504;402 598 085;0;402 598 085;;;;;;;;;
Culture;131;01;7;9 770 003;9 178 187;0;9 178 187;12 290 003;9 178 187;0;9 178 187;;;;;;;;;
Culture;131;02;3;11 056 536;14 534 575;0;14 534 575;11 056 536;14 534 575;0;14 534 575;;;;;;;;;
Culture;131;02;5;1 585 868;1 926 834;0;1 926 834;1 542 468;1 864 770;0;1 864 770;;;;;;;;;
Culture;131;02;6;54 515 868;42 181 185;0;42 181 185;44 484 764;44 051 809;0;44 051 809;;;;;;;;;
Culture;131;02;7;5 408 273;2 898 679;0;2 898 679;5 408 273;2 898 679;0;2 898 679;;;;;;;;;
Culture;175;01;3;48 109 387;36 959 116;0;36 959 116;47 969 387;37 099 116;0;37 099 116;;;;;;;;;
Culture;175;01;5;109 566 851;102 848 204;0;102 848 204;91 694 385;89 583 948;0;89 583 948;;;;;;;;;
Culture;175;01;6;150 910 697;156 801 667;0;156 801 667;157 799 148;162 424 596;0;162 424 596;;;;;;;;;
Culture;175;01;7;40 055 000;48 449 395;0;48 449 395;31 855 000;42 949 395;0;42 949 395;;;;;;;;;
Culture;175;02;3;17 815 938;18 360 849;0;18 360 849;17 915 938;18 460 849;0;18 460 849;;;;;;;;;
Culture;175;02;6;8 912 300;8 698 750;0;8 698 750;8 912 300;8 698 750;0;8 698 750;;;;;;;;;
Culture;175;02;7;1 197 500;685 313;0;685 313;1 197 500;685 313;0;685 313;;;;;;;;;
Culture;175;03;3;279 109 432;271 922 674;0;271 922 674;279 109 432;271 922 674;0;271 922 674;;;;;;;;;
Culture;175;03;5;18 800 895;10 939 551;0;10 939 551;34 084 102;12 362 620;0;12 362 620;;;;;;;;;
Culture;175;03;6;24 244 400;27 357 663;0;27 357 663;27 796 900;27 355 490;0;27 355 490;;;;;;;;;
Culture;175;03;7;31 688 854;26 350 124;0;26 350 124;34 848 854;27 830 124;0;27 830 124;;;;;;;;;
Culture;175;04;3;10 013 348;11 078 198;0;11 078 198;9 894 814;11 078 198;0;11 078 198;;;;;;;;;
Culture;175;04;5;4 445 314;5 815 314;0;5 815 314;7 317 078;7 301 440;0;7 301 440;;;;;;;;;
Culture;175;04;6;6 604 500;6 590 000;0;6 590 000;7 954 500;8 690 000;0;8 690 000;;;;;;;;;
Culture;175;07;3;50 000;50 000;0;50 000;50 000;50 000;0;50 000;;;;;;;;;
Culture;175;07;6;2 563 833;2 550 833;0;2 550 833;2 563 833;2 550 833;0;2 550 833;;;;;;;;;
Culture;175;08;3;50 000;50 000;0;50 000;50 000;50 000;0;50 000;;;;;;;;;
Culture;175;08;5;2 896 448;2 896 448;0;2 896 448;2 896 448;2 896 448;0;2 896 448;;;;;;;;;
Culture;175;08;6;3 287 820;3 287 820;0;3 287 820;3 287 820;3 287 820;0;3 287 820;;;;;;;;;
Culture;175;08;7;2 318 745;2 118 745;0;2 118 745;2 318 745;2 118 745;0;2 118 745;;;;;;;;;
Culture;175;09;3;159 000;159 000;0;159 000;159 000;159 000;0;159 000;;;;;;;;;
