Gestion;2016;;;;;;;;;;;;;;;;;;;;
Type Budget;(Plusieurs éléments);;;;;;;;;;;;;;;;;;;;
;;;;;;Données;;;;;;;;;;;;;;;
Contrôle de la circulation et du stationnement routiers;751;03;Soutien au programme;0;;6 350 000;6 780 000;0;6 780 000;6 350 000;6 780 000;0;6 780 000;;;;;;;;
Contrôle de la circulation et du stationnement routiers;752;01;Fichier national du permis de conduire;0;;21 882 000;20 536 000;0;20 536 000;21 882 000;20 536 000;0;20 536 000;;;;;;;;
Contrôle de la circulation et du stationnement routiers;753;01;Déploiement du procès-verbal électronique;0;;30 000 000;26 200 000;0;26 200 000;30 000 000;26 200 000;0;26 200 000;;;;;;;;
Contrôle de la circulation et du stationnement routiers;754;01;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;0;;667 191 234;666 780 557;0;666 780 557;667 191 234;666 780 557;0;666 780 557;;;;;;;;
Contrôle de la circulation et du stationnement routiers;755;01;Désendettement de l'État;0;;440 905 434;440 541 249;0;440 541 249;440 905 434;440 541 249;0;440 541 249;;;;;;;;
Développement agricole et rural;775;01;Développement et transfert;0;;70 453 250;70 453 250;0;70 453 250;70 453 250;70 453 250;0;70 453 250;;;;;;;;
Développement agricole et rural;775;02;Fonction support;0;;100 000;100 000;0;100 000;100 000;100 000;0;100 000;;;;;;;;
Développement agricole et rural;776;01;Recherche appliquée et innovation;0;;76 546 750;76 546 750;0;76 546 750;76 546 750;76 546 750;0;76 546 750;;;;;;;;
Développement agricole et rural;776;02;Fonction support;0;;400 000;400 000;0;400 000;400 000;400 000;0;400 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;793;03;Renforcement des réseaux;0;;184 000 000;184 000 000;0;184 000 000;184 000 000;184 000 000;0;184 000 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;793;04;Extension des réseaux;0;;46 700 000;46 700 000;0;46 700 000;46 700 000;46 700 000;0;46 700 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;793;05;Enfouissement et pose en façade;0;;55 500 000;55 500 000;0;55 500 000;55 500 000;55 500 000;0;55 500 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;793;06;Sécurisation des fils nus (hors faible section);0;;39 000 000;39 000 000;0;39 000 000;39 000 000;39 000 000;0;39 000 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;793;07;Sécurisation des fils nus de faible section;0;;42 000 000;42 000 000;0;42 000 000;42 000 000;42 000 000;0;42 000 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;793;08;Fonctionnement;0;;1 400 000;1 400 000;0;1 400 000;1 400 000;1 400 000;0;1 400 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;793;09;Déclaration d'utilité publique (Très haute tension);0;;500 000;500 000;0;500 000;500 000;500 000;0;500 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;793;10;Intempéries;0;;500 000;500 000;0;500 000;500 000;500 000;0;500 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;794;02;Sites isolés;0;;2 000 000;2 000 000;0;2 000 000;2 000 000;2 000 000;0;2 000 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;794;03;Installations de proximité en zone non interconnectée;0;;4 000 000;4 000 000;0;4 000 000;4 000 000;4 000 000;0;4 000 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;794;04;Maîtrise de la demande d'énergie;0;;1 400 000;1 400 000;0;1 400 000;1 400 000;1 400 000;0;1 400 000;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;794;05;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013);0;;0;0;0;0;0;0;0;0;;;;;;;;
Financement des aides aux collectivités pour l'électrification rurale;794;06;Intempéries - (Engagements antérieurs au 1er janvier 2013);0;;0;0;0;0;0;0;0;0;;;;;;;;
Financement national du développement et de la modernisation de l'apprentissage;787;03;Répartition régionale de la ressource consacrée au développement de l'apprentissage;0;;1 397 823 400;1 395 775 620;0;1 395 775 620;1 397 823 400;1 395 775 620;0;1 395 775 620;;;;;;;;
Financement national du développement et de la modernisation de l'apprentissage;790;01;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;0;;92 906 600;95 077 114;0;95 077 114;92 906 600;95 077 114;0;95 077 114;;;;;;;;
Gestion du patrimoine immobilier de l'État;721;01;Contribution au désendettement de l'État;0;;108 000 000;155 000 000;0;155 000 000;108 000 000;155 000 000;0;155 000 000;;;;;;;;
Gestion du patrimoine immobilier de l'État;723;01;Dépenses immobilières;0;;418 817 226;433 821 451;0;433 821 451;413 000 000;420 000 000;0;420 000 000;;;;;;;;
Participation de la France au désendettement de la Grèce;795;01;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus en compte propre;0;;0;0;0;0;123 500 000;92 600 000;0;92 600 000;;;;;;;;
Participation de la France au désendettement de la Grèce;795;02;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus au titre du portefeuille dit SMP;0;;309 000 000;233 000 000;0;233 000 000;309 000 000;233 000 000;0;233 000 000;;;;;;;;
Participation de la France au désendettement de la Grèce;796;01;Rétrocessions de trop-perçus à la Banque de France;0;;0;0;0;0;0;0;0;0;;;;;;;;
Participations financières de l'État;731;01;Augmentations de capital, dotations en fonds propres, avances d'actionnaire et prêts assimilés;0;;502 800 000;2 569 000 000;0;2 569 000 000;502 800 000;2 569 000 000;0;2 569 000 000;;;;;;;;
Participations financières de l'État;731;03;Achats ou souscriptions de titres, parts ou droits de société;0;;387 200 000;321 000 000;0;321 000 000;387 200 000;321 000 000;0;321 000 000;;;;;;;;
Participations financières de l'État;731;04;Autres investissements financiers de nature patrimoniale;0;;10 000 000;10 000 000;0;10 000 000;10 000 000;10 000 000;0;10 000 000;;;;;;;;
Participations financières de l'État;731;05;Prestations de services : commissions bancaires, frais juridiques et frais liés aux opérations de gestion des participations financières de l'État;0;;100 000 000;100 000 000;0;100 000 000;100 000 000;100 000 000;0;100 000 000;;;;;;;;
Participations financières de l'État;731;06;Versements au profit du Mécanisme européen de stabilité;0;;0;0;0;0;0;0;0;0;;;;;;;;
Participations financières de l'État;732;01;Désendettement de l'État ou d'établissements publics de l'État;0;;4 000 000 000;2 000 000 000;0;2 000 000 000;4 000 000 000;2 000 000 000;0;2 000 000 000;;;;;;;;
Pensions;741;01;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;0;;42 582 800 000;43 181 700 000;0;43 181 700 000;42 582 800 000;43 181 700 000;0;43 181 700 000;;;;;;;;
Pensions;741;02;Militaires relevant du code des pensions civiles et militaires de retraite;0;;10 062 500 000;9 972 500 000;0;9 972 500 000;10 062 500 000;9 972 500 000;0;9 972 500 000;;;;;;;;
Pensions;741;03;Allocations temporaires d'invalidité;0;;144 100 000;143 100 000;0;143 100 000;144 100 000;143 100 000;0;143 100 000;;;;;;;;
Pensions;742;01;Prestations vieillesse et invalidité;0;;1 860 200 000;1 850 900 000;0;1 850 900 000;1 860 200 000;1 850 900 000;0;1 850 900 000;;;;;;;;
Pensions;742;03;Autres dépenses spécifiques;0;;1 410 000;1 252 000;0;1 252 000;1 410 000;1 252 000;0;1 252 000;;;;;;;;
Pensions;742;04;Gestion du régime;0;;8 100 000;7 900 000;0;7 900 000;8 100 000;7 900 000;0;7 900 000;;;;;;;;
Pensions;742;05;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);0;;55 320 000;56 140 000;0;56 140 000;55 320 000;56 140 000;0;56 140 000;;;;;;;;
Pensions;743;01;Reconnaissance de la Nation;0;;785 464 000;757 364 000;0;757 364 000;785 464 000;757 364 000;0;757 364 000;;;;;;;;
Pensions;743;02;Réparation;0;;1 295 550 000;1 189 720 000;0;1 189 720 000;1 295 550 000;1 189 720 000;0;1 189 720 000;;;;;;;;
Pensions;743;03;Pensions d'Alsace-Lorraine;0;;16 000 000;16 000 000;0;16 000 000;16 000 000;16 000 000;0;16 000 000;;;;;;;;
Pensions;743;04;Allocations de reconnaissance des anciens supplétifs;0;;17 200 000;15 300 000;0;15 300 000;17 200 000;15 300 000;0;15 300 000;;;;;;;;
Pensions;743;05;Pensions des anciens agents du chemin de fer franco-éthiopien;0;;63 000;56 226;0;56 226;63 000;56 226;0;56 226;;;;;;;;
Pensions;743;06;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;0;;12 986 000;12 438 000;0;12 438 000;12 986 000;12 438 000;0;12 438 000;;;;;;;;
Pensions;743;07;Pensions de l'ORTF;0;;320 000;280 000;0;280 000;320 000;280 000;0;280 000;;;;;;;;
Prêts à des États étrangers;851;01;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;0;;330 000 000;330 000 000;0;330 000 000;440 000 000;300 000 000;0;300 000 000;;;;;;;;
Prêts à des États étrangers;852;01;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;0;;652 100 000;734 707 502;0;734 707 502;652 100 000;734 707 502;0;734 707 502;;;;;;;;
Prêts à des États étrangers;853;01;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;0;;760 000 000;400 000 000;0;400 000 000;390 000 000;58 500 000;0;58 500 000;;;;;;;;
Prêts à des États étrangers;854;01;Soutien financier aux États membres de lUnion européenne dont la monnaie est leuro;0;;0;0;0;0;0;0;0;0;;;;;;;;
Prêts et avances à des particuliers ou à des organismes privés;861;04;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;0;;500 000;485 000;0;485 000;500 000;485 000;0;485 000;;;;;;;;
Prêts et avances à des particuliers ou à des organismes privés;862;01;Prêts pour le développement économique et social;0;;200 000 000;150 000 000;0;150 000 000;200 000 000;150 000 000;0;150 000 000;;;;;;;;
Prêts et avances à des particuliers ou à des organismes privés;863;02;Prêts pour le soutien à l'innovation de la filière automobile;0;;0;0;0;0;0;0;0;0;;;;;;;;
Prêts et avances à des particuliers ou à des organismes privés;863;03;Fonds de soutien à la filière automobile;0;;0;5 000 000;0;5 000 000;0;5 000 000;0;5 000 000;;;;;;;;
Services nationaux de transport conventionnés de voyageurs;785;01;Contribution à lexploitation des services nationaux de transport conventionnés;0;;190 800 000;216 200 000;0;216 200 000;190 800 000;216 200 000;0;216 200 000;;;;;;;;
Services nationaux de transport conventionnés de voyageurs;785;02;Frais d'enquêtes, d'études et de conseil relatifs à l'exploitation des services nationaux de transport conventionnés;0;;200 000;800 000;0;800 000;200 000;800 000;0;800 000;;;;;;;;
Services nationaux de transport conventionnés de voyageurs;786;01;Contribution au matériel roulant des services nationaux de transport conventionnés;0;;117 700 000;117 800 000;0;117 800 000;117 700 000;117 800 000;0;117 800 000;;;;;;;;
Services nationaux de transport conventionnés de voyageurs;786;02;Frais d'enquêtes, d'études et de conseil relatifs au matériel roulant des services nationaux de transport conventionnés;0;;300 000;200 000;0;200 000;300 000;200 000;0;200 000;;;;;;;;
