Numérode ligne;Intitulé de la recette;Évaluation pour 2019 (en euros)
1769;Autres droits et recettes à différents titres;27 673 000
1773;Taxe sur les achats de viande;0
1774;Taxe spéciale sur la publicité télévisée;3 000 000
1776;Redevances sanitaires d'abattage et de découpage;54 900 000
1777;Taxe sur certaines dépenses de publicité;24 000 000
1780;Taxe de l'aviation civile;0
1781;Taxe sur les installations nucléaires de base;577 000 000
1782;Taxes sur les stations et liaisons radioélectriques privées;28 800 000
1785;Produits des jeux exploités par la Française des jeux (hors paris sportifs);2 412 000 000
1786;Prélèvements sur le produit des jeux dans les casinos;777 993 000
1787;Prélèvement sur le produit brut des paris hippiques;418 115 000
1788;Prélèvement sur les paris sportifs;566 467 000
1789;Prélèvement sur les jeux de cercle en ligne;67 539 000
1790;Redevance sur les paris hippiques en ligne;0
1797;Taxe sur les transactions financières;1 122 000 000
1798;Impositions forfaitaires sur les entreprises de réseaux (affectation temporaire à l'Etat en 2010);0
1799;Autres taxes;500 000 000
;2. Recettes non fiscales;
;21. Dividendes et recettes assimilées ;6 243 446 000
2110;Produits des participations de l'État dans des entreprises financières;3 887 767 000
2111;Contribution de la Caisse des dépôts et consignations représentative de l'impôt sur les sociétés;410 000 000
2116;Produits des participations de l'État dans des entreprises non financières et bénéfices des établissements publics non financiers;1 941 690 000
2199;Autres dividendes et recettes assimilées;3 989 000
;22. Produits du domaine de l'État ;662 856 000
2201;Revenus du domaine public non militaire;180 000 000
2202;Autres revenus du domaine public;8 000 000
2203;Revenus du domaine privé;60 000 000
2204;Redevances d'usage des fréquences radioélectriques;310 096 000
2209;Paiement par les administrations de leurs loyers budgétaires;93 500 000
2211;Produit de la cession d'éléments du patrimoine immobilier de l'État;0
2212;Autres produits de cessions d'actifs;0
2299;Autres revenus du Domaine;11 260 000
;23. Produits de la vente de biens et services ;1 314 072 000
2301;Remboursement par l'Union européenne des frais d'assiette et de perception des impôts et taxes perçus au profit de son budget;421 000 000
2303;Autres frais d'assiette et de recouvrement;810 646 000
2304;Rémunération des prestations assurées par les services du Trésor Public au titre de la collecte de l'épargne;63 570 000
2305;Produits de la vente de divers biens;31 000
2306;Produits de la vente de divers services;3 681 000
2399;Autres recettes diverses;15 144 000
;24. Remboursements et intérêts des prêts, avances et autres immobilisations financières ;488 083 000
2401;Intérêts des prêts à des banques et à des États étrangers;152 968 000
2402;Intérêts des prêts du fonds de développement économique et social;6 000 000
2403;Intérêts des avances à divers services de l'État ou organismes gérant des services publics;31 000 000
2409;Intérêts des autres prêts et avances;45 000 000
2411;Avances remboursables sous conditions consenties à l'aviation civile;212 000 000
2412;Autres avances remboursables sous conditions;1 000 000
2413;Reversement au titre des créances garanties par l'État;13 584 000
2499;Autres remboursements d'avances, de prêts et d'autres créances immobilisées;26 531 000
;25. Amendes, sanctions, pénalités et frais de poursuites ;1 376 506 000
2501;Produits des amendes de la police de la circulation et du stationnement routiers;497 436 000
2502;Produits des amendes prononcées par les autorités de la concurrence;300 000 000
2503;Produits des amendes prononcées par les autres autorités administratives indépendantes;83 564 000
2504;Recouvrements poursuivis à l'initiative de l'agence judiciaire de l'Etat;10 993 000
2505;Produit des autres amendes et condamnations pécuniaires;460 499 000
2510;Frais de poursuite;11 040 000
2511;Frais de justice et d'instance;11 225 000
2512;Intérêts moratoires;106 000
2513;Pénalités;1 643 000
;26. Divers ;2 384 849 000
2601;Reversements de Natixis;49 000 000
2602;Reversements au titre des procédures de soutien financier au commerce extérieur;531 200 000
2603;Prélèvements sur les fonds d'épargne gérés par la Caisse des Dépôts et Consignations;500 000 000
2604;Divers produits de la rémunération de la garantie de l'État;210 000 000
2611;Produits des chancelleries diplomatiques et consulaires;271 862 000
2612;Redevances et divers produits pour frais de contrôle et de gestion;7 701 000
2613;Prélèvement effectué sur les salaires des conservateurs des hypothèques;10 000
2614;Prélèvements effectués dans le cadre de la directive épargne;6 507 000
2615;Commissions et frais de trésorerie perçus par l'État dans le cadre de son activité régalienne;264 000
2616;Frais d'inscription;8 283 000
2617;Recouvrement des indemnisations versées par l'État au titre des expulsions locatives;8 115 000
2618;Remboursement des frais de scolarité et accessoires;5 871 000
2620;Récupération d'indus;31 969 000
2621;Recouvrements après admission en non-valeur;147 074 000
2622;Divers versements de l'Union européenne;14 159 000
2623;Reversements de fonds sur les dépenses des ministères ne donnant pas lieu à rétablissement de crédits;31 473 000
2624;Intérêts divers (hors immobilisations financières);31 618 000
2625;Recettes diverses en provenance de l'étranger;2 339 000
2626;Remboursement de certaines exonérations de taxe foncière sur les propriétés non bâties (art.109 de la loi de finances pour 1992);2 992 000
2627;Soulte sur reprise de dette et recettes assimilées;0
2697;Recettes accidentelles;309 817 000
2698;Produits divers;35 572 000
2699;Autres produits divers;179 023 000
;3. Prélèvements sur les recettes de l'État;
;31. Prélèvements sur les recettes de l'État au profit des collectivités territoriales ;40 470 360 000
3101;Prélèvement sur les recettes de l'État au titre de la dotation globale de fonctionnement;26 953 048 000
3103;Prélèvement sur les recettes de l'État au titre de la dotation spéciale pour le logement des instituteurs;11 028 000
3104;Dotation de compensation des pertes de bases de la taxe professionnelle et de redevance des mines des communes et de leurs groupements;73 500 000
3106;Prélèvement sur les recettes de l'État au profit du Fonds de compensation pour la taxe sur la valeur ajoutée (FCTVA);5 648 866 000
3107;Prélèvement sur les recettes de l'État au titre de la compensation d'exonérations relatives à la fiscalité locale;2 199 548 000
3108;Dotation élu local;65 006 000
3109;Prélèvement sur les recettes de l'État au profit de la collectivité territoriale de Corse et des départements de Corse;40 976 000
3111;Fonds de mobilisation départementale pour l'insertion;491 877 000
3112;Dotation départementale d'équipement des collèges;326 317 000
3113;Dotation régionale d'équipement scolaire;661 186 000
3118;Dotation globale de construction et d'équipement scolaire;2 686 000
3122;Dotation de compensation de la réforme de la taxe professionnelle;2 976 964 000
3123;Dotation pour transferts de compensations d'exonérations de fiscalité directe locale;499 683 000
3126;Prélèvement sur les recettes de l'État au titre de la Dotation unique des compensations spécifiques à la taxe professionnelle;0
3130;Dotation de compensation de la réforme de la taxe sur les logements vacants pour les communes et les établissements publics de coopération intercommunale percevant la taxe d’habitation sur les logements vacants;4 000 000
3131;Dotation de compensation liée au processus de départementalisation de Mayotte;107 000 000
3133;Fonds de compensation des nuisances aéroportuaires;6 822 000
3134;Dotation de garantie des reversements des fonds départementaux de taxe professionnelle;284 278 000
3135;Prélèvement sur les recettes de l'État au titre de la compensation des pertes de recettes liées au relèvement du seuil d'assujettissement des entreprises au versement transport;90 575 000
3136;Prélèvement sur les recettes de l’État au profit de la collectivité territoriale de Guyane;27 000 000
;32. Prélèvement sur les recettes de l'État au profit de l'Union européenne ;21 515 000 000
3201;Prélèvement sur les recettes de l'État au profit du budget de l'Union européenne;21 515 000 000
;4.Fonds de concours;
;Évaluation des fonds de concours;5 336 673 512
