Mission;Code Programme;Programme;AE Titre 2;AE autres titres;Total AE;CP Titre 2;CP autres titres;Total CP
Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);0;90 622 984 000;90 622 984 000;0;90 622 984 000;90 622 984 000
Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);0;11 317 074 000;11 317 074 000;0;11 317 074 000;11 317 074 000
Écologie, développement et mobilité durables;203;Infrastructures et services de transports;0;3 642 015 833;3 642 015 833;0;3 669 961 177;3 669 961 177
Santé;204;Prévention, sécurité sanitaire et offre de soins;0;693 371 236;693 371 236;0;693 371 236;693 371 236
Écologie, développement et mobilité durables;205;Sécurité et affaires maritimes, pêche et aquaculture;0;193 089 080;193 089 080;0;194 043 099;194 043 099
Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;286 336 931;218 317 118;504 654 049;286 336 931;218 317 118;504 654 049
Sécurités;207;Sécurité et éducation routières;80 946 350;48 063 713;129 010 063;80 946 350;48 063 713;129 010 063
Aide publique au développement;209;Solidarité à l'égard des pays en développement;206 180 672;1 634 692 138;1 840 872 810;206 180 672;1 620 380 681;1 826 561 353
Défense;212;Soutien de la politique de la défense;1 210 070 865;2 392 785 945;3 602 856 810;1 210 070 865;1 804 926 025;3 014 996 890
Enseignement scolaire;214;Soutien de la politique de l'éducation nationale;1 452 143 821;865 162 068;2 317 305 889;1 452 143 821;759 616 670;2 211 760 491
Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;639 643 234;82 529 208;722 172 442;639 643 234;93 129 208;732 772 442
Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;391 910 811;414 565 354;806 476 165;391 910 811;313 306 400;705 217 211
Écologie, développement et mobilité durables;217;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;2 005 622 151;898 768 660;2 904 390 811;2 005 622 151;526 660 900;2 532 283 051
Gestion des finances publiques et des ressources humaines;218;Conduite et pilotage des politiques économique et financière;442 446 923;440 945 074;883 391 997;442 446 923;442 088 638;884 535 561
Sport, jeunesse et vie associative;219;Sport;0;224 736 435;224 736 435;0;231 138 000;231 138 000
Économie;220;Statistiques et études économiques;382 803 368;79 089 055;461 892 423;382 803 368;74 727 512;457 530 880
Gestion des finances publiques et des ressources humaines;221;Stratégie des finances publiques et modernisation de l'État;83 839 482;146 932 456;230 771 938;83 839 482;146 721 896;230 561 378
Culture;224;Transmission des savoirs et démocratisation de la culture;658 087 228;423 102 425;1 081 189 653;658 087 228;431 243 917;1 089 331 145
Enseignement scolaire;230;Vie de l'élève;1 917 104 300;2 485 756 127;4 402 860 427;1 917 104 300;2 418 716 127;4 335 820 427
Recherche et enseignement supérieur;231;Vie étudiante;0;2 456 032 691;2 456 032 691;0;2 465 618 691;2 465 618 691
Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;29 548 000;255 809 667;285 357 667;29 548 000;256 450 406;285 998 406
Gestion des finances publiques et des ressources humaines;302;Facilitation et sécurisation des échanges;1 136 143 973;496 463 844;1 632 607 817;1 136 143 973;461 205 000;1 597 348 973
Immigration, asile et intégration;303;Immigration et asile;0;591 800 000;591 800 000;0;602 600 000;602 600 000
Solidarité, insertion et égalité des chances;304;Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales;0;575 440 450;575 440 450;0;575 440 450;575 440 450
Économie;305;Stratégie économique et fiscale;152 363 929;340 227 332;492 591 261;152 363 929;340 227 332;492 591 261
Administration générale et territoriale de l'État;307;Administration territoriale;1 532 116 999;195 795 076;1 727 912 075;1 532 116 999;194 135 094;1 726 252 093
Direction de l'action du Gouvernement;308;Protection des droits et libertés;57 931 852;40 987 636;98 919 488;57 931 852;36 544 628;94 476 480
Gestion des finances publiques et des ressources humaines;309;Entretien des bâtiments de l'État;0;160 000 000;160 000 000;0;170 000 000;170 000 000
Justice;310;Conduite et pilotage de la politique de la justice;133 403 444;271 408 077;404 811 521;133 403 444;178 295 267;311 698 711
Médias, livre et industries culturelles;313;Contribution à l'audiovisuel et à la diversité radiophonique;0;143 499 929;143 499 929;0;143 499 929;143 499 929
Direction de l'action du Gouvernement;333;Moyens mutualisés des administrations déconcentrées;106 884 513;490 810 726;597 695 239;106 884 513;445 510 191;552 394 704
Médias, livre et industries culturelles;334;Livre et industries culturelles;0;315 983 400;315 983 400;0;262 189 500;262 189 500
Justice;335;Conseil supérieur de la magistrature;2 791 851;1 003 784;3 795 635;2 791 851;1 392 925;4 184 776
Engagements financiers de l'État;336;Dotation en capital du Mécanisme européen de stabilité;0;0;0;0;3 261 744 000;3 261 744 000
Égalité des territoires, logement et ville;337;Conduite et pilotage des politiques de l’égalité des territoires, du logement et de la ville;804 581 023;0;804 581 023;804 581 023;0;804 581 023
Engagements financiers de l'État;338;Augmentation de capital de la Banque européenne d'investissement;0;0;0;0;0;0
Conseil et contrôle de l'État;340;Haut Conseil des finances publiques;368 675;450 000;818 675;368 675;450 000;818 675
Direction de l'action du Gouvernement;401;Transition numérique de l'État et modernisation de l'action publique;0;150 000 000;150 000 000;0;150 000 000;150 000 000
Défense;402;Excellence technologique des industries de défense;0;1 500 000 000;1 500 000 000;0;1 500 000 000;1 500 000 000
Écologie, développement et mobilité durables;403;Innovation pour la transition écologique et énergétique;0;1 100 000 000;1 100 000 000;0;1 100 000 000;1 100 000 000
Écologie, développement et mobilité durables;404;Projets industriels pour la transition écologique et énergétique;0;470 000 000;470 000 000;0;470 000 000;470 000 000
Économie;405;Projets industriels;0;420 000 000;420 000 000;0;420 000 000;420 000 000
Économie;406;Innovation;0;690 000 000;690 000 000;0;690 000 000;690 000 000
Économie;407;Économie numérique;0;565 000 000;565 000 000;0;565 000 000;565 000 000
Enseignement scolaire;408;Internats de la réussite;0;150 000 000;150 000 000;0;150 000 000;150 000 000
Recherche et enseignement supérieur;409;Écosystèmes d'excellence;0;4 115 000 000;4 115 000 000;0;4 115 000 000;4 115 000 000
Recherche et enseignement supérieur;410;Recherche dans le domaine de l'aéronautique;0;1 220 000 000;1 220 000 000;0;1 220 000 000;1 220 000 000
Sport, jeunesse et vie associative;411;Projets innovants en faveur de la jeunesse;0;100 000 000;100 000 000;0;100 000 000;100 000 000
Travail et emploi;412;Formation et mutations économiques;0;150 000 000;150 000 000;0;150 000 000;150 000 000
Écologie, développement et mobilité durables;414;Ville et territoires durables;0;370 000 000;370 000 000;0;370 000 000;370 000 000
Pouvoirs publics;501;Présidence de la République;0;101 660 000;101 660 000;0;101 660 000;101 660 000
Pouvoirs publics;511;Assemblée nationale;0;517 890 000;517 890 000;0;517 890 000;517 890 000
Pouvoirs publics;521;Sénat;0;323 584 600;323 584 600;0;323 584 600;323 584 600
Pouvoirs publics;531;Conseil constitutionnel;0;10 776 000;10 776 000;0;10 776 000;10 776 000
Pouvoirs publics;532;Haute Cour;0;0;0;0;0;0
Pouvoirs publics;533;Cour de justice de la République;0;866 600;866 600;0;866 600;866 600
Pouvoirs publics;541;La chaîne parlementaire;0;35 210 162;35 210 162;0;35 210 162;35 210 162
Pouvoirs publics;542;Indemnités des représentants français au Parlement européen;0;0;0;0;0;0
Provisions;551;Provision relative aux rémunérations publiques;0;0;0;0;0;0
Provisions;552;Dépenses accidentelles et imprévisibles;0;455 602 418;455 602 418;0;155 602 418;155 602 418
