Node index;Type mission;Code type mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action
360;Budget général;1;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;01;;;
361;Budget général;1;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Soutien à la démocratisation et à l'éducation artistique et culturelle;02;;;
362;Budget général;1;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Action culturelle internationale;06;;;
363;Budget général;1;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Fonctions de soutien du ministère;07;;;
364;Budget général;1;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Développement et professionnalisation de l'emploi dans le spectacle;08;;;
365;Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Recherche et exploitation du renseignement intéressant la sécurité de la France;03;;;
366;Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;07;;;
367;Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Relations internationales et diplomatie de défense;08;;;
368;Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;06;;;
369;Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;07;;;
370;Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;08;;;
371;Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;09;;;
372;Budget général;1;Défense;DA;Équipement des forces;146;Protection et sauvegarde;10;;;
373;Budget général;1;Défense;DA;Équipement des forces;146;Préparation et conduite des opérations d'armement;11;;;
374;Budget général;1;Défense;DA;Équipement des forces;146;Parts étrangères et programmes civils;12;;;
375;Budget général;1;Défense;DA;Préparation et emploi des forces;178;Planification  des moyens et conduite des opérations;01;;;
376;Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;02;;;
377;Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;03;;;
378;Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;04;;;
379;Budget général;1;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;05;;;
380;Budget général;1;Défense;DA;Préparation et emploi des forces;178;Surcoûts liés aux opérations extérieures;06;;;
381;Budget général;1;Défense;DA;Préparation et emploi des forces;178;Surcoûts liés aux opérations intérieures;07;;;
382;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politique immobilière;04;;;
383;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Systèmes d'information, d'administration et de gestion;05;;;
384;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politiques des ressources humaines;06;;;
385;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politique culturelle et éducative;08;;;
386;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Restructurations;10;;;
387;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication;11;;;
388;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme "Environnement et prospective de la politique de défense";50;;;
389;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Prospective de défense - Personnel travaillant  pour le programme "Environnement et prospective de la politique de défense";51;;;
390;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Relations internationales;52;;;
391;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  "Équipement des forces ";53;;;
392;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;;;
393;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation des forces terrestres - Personnel travaillant pour le programme "Préparation et emploi des forces";55;;;
394;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation des forces navales - Personnel travaillant pour le programme "Préparation et emploi des forces";56;;;
395;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation des forces aériennes- Personnel travaillant pour le programme "Préparation et emploi des forces";57;;;
396;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Logistique et soutien interarmées - Personnel travaillant pour le programme "Préparation et emploi des forces";58;;;
397;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Surcoûts liés aux opérations - Personnel travaillant pour le programme "Préparation et emploi des forces";59;;;
398;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politique immobilière - Personnel travaillant pour l'action "Politique immobilière";60;;;
399;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Action sociale, chômage et pensions;61;;;
400;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politique culturelle et éducative - gestion et communication des archives historiques de la défense - Personnel travaillant pour l'action "Politique culturelle et éducative";62;;;
401;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Restructurations - RH;63;;;
402;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien  -  Personnel travaillant pour l'action " Pilotage, soutien ";64;;;
403;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Journée défense et citoyenneté - Personnel travaillant pour le programme "Liens entre la Nation et son armée";65;;;
404;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Rayonnement et contribution extérieure;66;;;
405;Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;67;;;
406;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Coordination du travail gouvernemental;01;;;
407;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Coordination de la sécurité et de la défense;02;;;
408;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Coordination de la politique européenne;03;;;
409;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Soutien;10;;;
410;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Stratégie et prospective;11;;;
411;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Ordre de la Légion d'honneur;13;;;
412;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Ordre de la Libération;14;;;
413;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Mission interministérielle de lutte contre les drogues et les conduites addictives;15;;;
414;Budget général;1;Direction de l'action du Gouvernement;DC;Coordination du travail gouvernemental;129;Modernisation de l'action publique;16;;;
415;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Commission nationale de l'informatique et des libertés;02;;;
416;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Conseil supérieur de l'audiovisuel;03;;;
417;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Contrôleur général des lieux de privation de liberté;05;;;
418;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Autres autorités indépendantes;06;;;
419;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Sécurité et protection des libertés;07;;;
420;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Défenseur des droits;09;;;
421;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Haute autorité pour la transparence de la vie publique;10;;;
422;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Régulation de la distribution de la presse;11;;;
423;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Commission nationale de contrôle des techniques de renseignement;12;;;
424;Budget général;1;Direction de l'action du Gouvernement;DC;Protection des droits et libertés;308;Commission du secret de la Défense nationale;13;;;
425;Budget général;1;Direction de l'action du Gouvernement;DC;Moyens mutualisés des administrations déconcentrées;333;Fonctionnement courant des directions départementales interministérielles;01;;;
426;Budget général;1;Direction de l'action du Gouvernement;DC;Moyens mutualisés des administrations déconcentrées;333;Loyers et charges immobilières des administrations déconcentrées;02;;;
427;Budget général;1;Direction de l'action du Gouvernement;DC;Moyens mutualisés des administrations déconcentrées;333;Emplois déconcentrés des services du Premier ministre;03;;;
428;Budget général;1;Écologie, développement et mobilité durables;TA;Paysages, eau et biodiversité;113;Sites, paysages, publicité;01;;;
429;Budget général;1;Écologie, développement et mobilité durables;TA;Paysages, eau et biodiversité;113;logistique, formation et contentieux;02;;;
430;Budget général;1;Écologie, développement et mobilité durables;TA;Paysages, eau et biodiversité;113;Gestion des milieux et biodiversité;07;;;
431;Budget général;1;Écologie, développement et mobilité durables;TA;Expertise, information géographique et météorologie;159;Gouvernance, évaluation, études et prospective en matière de développement durable;10;;;
432;Budget général;1;Écologie, développement et mobilité durables;TA;Expertise, information géographique et météorologie;159;Etudes et expertise en matière de développement durable;11;;;
433;Budget général;1;Écologie, développement et mobilité durables;TA;Expertise, information géographique et météorologie;159;Information géographique et cartographique;12;;;
434;Budget général;1;Écologie, développement et mobilité durables;TA;Expertise, information géographique et météorologie;159;Météorologie;13;;;
435;Budget général;1;Écologie, développement et mobilité durables;TA;Expertise, information géographique et météorologie;159;Economie sociale et solidaire;14;;;
436;Budget général;1;Écologie, développement et mobilité durables;TA;Énergie, climat et après-mines;174;Politique de l'énergie;01;;;
437;Budget général;1;Écologie, développement et mobilité durables;TA;Énergie, climat et après-mines;174;Gestion économique et sociale de l'après-mines;04;;;
438;Budget général;1;Écologie, développement et mobilité durables;TA;Énergie, climat et après-mines;174;Lutte contre le changement climatique et pour la qualité de l'air;05;;;
439;Budget général;1;Écologie, développement et mobilité durables;TA;Énergie, climat et après-mines;174;Soutien;06;;;
440;Budget général;1;Écologie, développement et mobilité durables;TA;Prévention des risques;181;Prévention des risques technologiques et des pollutions;01;;;
441;Budget général;1;Écologie, développement et mobilité durables;TA;Prévention des risques;181;Contrôle de la sûreté nucléaire et de la radioprotection;09;;;
442;Budget général;1;Écologie, développement et mobilité durables;TA;Prévention des risques;181;Prévention des risques naturels et hydrauliques;10;;;
443;Budget général;1;Écologie, développement et mobilité durables;TA;Prévention des risques;181;Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites;11;;;
444;Budget général;1;Écologie, développement et mobilité durables;TA;Prévention des risques;181;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);12;;;
445;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Routes - Développement;01;;;
446;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Routes - Entretien;04;;;
447;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Infrastructures de transports collectifs et ferroviaires;10;;;
448;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Infrastructures fluviales, portuaires et aéroportuaires;11;;;
449;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Entretien et exploitation du réseau routier national;12;;;
450;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Soutien, régulation, contrôle et sécurité des services de transports terrestres;13;;;
451;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Soutien, régulation et contrôle dans les domaines des transports fluviaux, maritimes et aériens;14;;;
452;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Stratégie et soutien;15;;;
453;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Ferroviaire;41;;;
454;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Voies navigables;42;;;
455;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Ports;43;;;
456;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Transports collectifs;44;;;
457;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Transports combinés;45;;;
458;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Fonctions support;47;;;
459;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Transport routier;50;;;
460;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Sécurité ferroviaire;51;;;
461;Budget général;1;Écologie, développement et mobilité durables;TA;Infrastructures et services de transports;203;Transport aérien;52;;;
462;Budget général;1;Écologie, développement et mobilité durables;TA;Affaires maritimes;205;Sécurité et sûreté maritimes;01;;;
463;Budget général;1;Écologie, développement et mobilité durables;TA;Affaires maritimes;205;Gens de mer et enseignement maritime;02;;;
464;Budget général;1;Écologie, développement et mobilité durables;TA;Affaires maritimes;205;Flotte de commerce;03;;;
465;Budget général;1;Écologie, développement et mobilité durables;TA;Affaires maritimes;205;Action interministérielle de la mer;04;;;
466;Budget général;1;Écologie, développement et mobilité durables;TA;Affaires maritimes;205;Soutien au programme;05;;;
467;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Stratégie, expertise et études en matière de développement durable;01;;;
468;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Fonction juridique;02;;;
469;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Politique et programmation de l'immobilier et des moyens de fonctionnement;03;;;
470;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Politique et gestion des systèmes d'information et des réseaux informatiques;04;;;
471;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Politique des ressources humaines et formation;05;;;
472;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Actions nationales, européennes et internationales en faveur du développement durable;06;;;
473;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant pour les politiques du programme "Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";07;;;
474;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant pour les politiques du programme "Infrastructures et services de transports";08;;;
475;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant pour les politiques du programme "Sécurité et éducation routières";09;;;
476;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant pour les politiques du programme "Affaires maritimes";11;;;
477;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant pour les politiques du programme "Paysages, eau et biodiversité";13;;;
478;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels relevant du ministère de la " Cohésion des territoires ";15;;;
479;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant pour les politiques du programme "Prévention des risques";16;;;
480;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels relevant de programmes d'autres ministères;18;;;
481;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels transférés aux collectivités territoriales;22;;;
482;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant pour les politiques des programmes "énergie, climat et après-mines";23;;;
483;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant dans le domaine des transports aériens;24;;;
484;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Commission nationale du débat public;25;;;
485;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Autorité de contrôle des nuisances aéroportuaires (ACNUSA);26;;;
486;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Commission de régulation de l'énergie (CRE);27;;;
487;Budget général;1;Écologie, développement et mobilité durables;TA;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;Personnels oeuvrant pour le développement durable et pour les politiques du programme "expertise, information géographique et météorologique";28;;;
488;Budget général;1;Écologie, développement et mobilité durables;TA;Service public de l'énergie;345;Solidarité avec les zones non interconnectées au réseau métropolitain;01;;;
489;Budget général;1;Écologie, développement et mobilité durables;TA;Service public de l'énergie;345;Protection des consommateurs en situation de précarité énergétique;02;;;
490;Budget général;1;Écologie, développement et mobilité durables;TA;Service public de l'énergie;345;Soutien à la cogénération;03;;;
491;Budget général;1;Écologie, développement et mobilité durables;TA;Service public de l'énergie;345;Frais de support;05;;;
492;Budget général;1;Écologie, développement et mobilité durables;TA;Service public de l'énergie;345;Médiateur de l'énergie;06;;;
493;Budget général;1;Écologie, développement et mobilité durables;TA;Service public de l'énergie;345;Fermeture de la centrale de Fessenheim;07;;;
494;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Commerce, artisanat et services;02;;;
495;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Actions en faveur des entreprises industrielles;03;;;
496;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Développement des télécommunications, des postes et de la société de l'information;04;;;
497;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Développement international des entreprises et attractivité du territoire;07;;;
498;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Expertise, conseil et inspection;08;;;
499;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Régulation des communications électroniques et des postes (ARCEP);13;;;
500;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Mise en oeuvre du droit de la concurrence (Autorité de la concurrence);15;;;
501;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Régulation concurrentielle des marchés;16;;;
502;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Protection économique du consommateur;17;;;
503;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Sécurité du consommateur;18;;;
504;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Financement des entreprises;20;;;
505;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Développement du tourisme;21;;;
506;Budget général;1;Économie;DB;Développement des entreprises et régulations;134;Economie sociale et solidaire;22;;;
507;Budget général;1;Économie;DB;Statistiques et études économiques;220;Infrastructure statistique;01;;;
508;Budget général;1;Économie;DB;Statistiques et études économiques;220;Information sur les entreprises et synthèses économiques;02;;;
509;Budget général;1;Économie;DB;Statistiques et études économiques;220;Information démographique et sociale;03;;;
510;Budget général;1;Économie;DB;Statistiques et études économiques;220;Pilotage et soutien;05;;;
511;Budget général;1;Économie;DB;Statistiques et études économiques;220;Action régionale;06;;;
512;Budget général;1;Économie;DB;Statistiques et études économiques;220;Formation initiale;07;;;
513;Budget général;1;Économie;DB;Stratégie économique et fiscale;305;Définition et mise en oeuvre de la politique économique et financière de la France dans le cadre national, international et européen;01;;;
514;Budget général;1;Économie;DB;Stratégie économique et fiscale;305;Développement international de l'économie française;02;;;
515;Budget général;1;Économie;DB;Stratégie économique et fiscale;305;Elaboration de la législation fiscale;03;;;
516;Budget général;1;Économie;DB;Plan 'France Très haut débit';343;Réseaux d'initiative publique;01;;;
517;Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Agriculture et environnement;01;;;
518;Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Soutien au domaine social, logement, santé;02;;;
519;Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Financement des entreprises et industrie;03;;;
520;Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Développement international de l'économie française;04;;;
521;Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Autres garanties;05;;;
522;Budget général;1;Engagements financiers de l'État;EB;Charge de la dette et trésorerie de l'État (crédits évaluatifs);117;Dette;01;;;
523;Budget général;1;Engagements financiers de l'État;EB;Charge de la dette et trésorerie de l'État (crédits évaluatifs);117;Trésorerie;03;;;
524;Budget général;1;Engagements financiers de l'État;EB;Épargne;145;Épargne logement;01;;;
525;Budget général;1;Engagements financiers de l'État;EB;Épargne;145;Instruments de financement du logement;02;;;
526;Budget général;1;Engagements financiers de l'État;EB;Majoration de rentes;168;Participation de l'État aux majorations de rentes viagères;01;;;
527;Budget général;1;Engagements financiers de l'État;EB;Dotation en capital du Mécanisme européen de stabilité;336;Dotation en capital du Mécanisme européen de stabilité;01;;;
528;Budget général;1;Engagements financiers de l'État;EB;Augmentation de capital de la Banque européenne d'investissement;338;Augmentation de capital de la Banque européenne d'investissement;01;;;
529;Budget général;1;Engagements financiers de l'État;EB;Fonds de soutien relatif aux prêts et contrats financiers structurés à risque;344;Fonds de soutien relatif aux prêts et contrats financiers structurés à risque;01;;;
530;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Enseignement pré-élémentaire;01;;;
531;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Enseignement élémentaire;02;;;
532;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Enseignement en collège;03;;;
533;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Enseignement général et technologique en lycée;04;;;
534;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Enseignement professionnel sous statut scolaire;05;;;
535;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Enseignement post-baccalauréat en lycée;06;;;
536;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Dispositifs spécifiques de scolarisation;07;;;
537;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Actions sociales en faveur des élèves;08;;;
538;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Fonctionnement des établissements;09;;;
539;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Formation initiale et continue des enseignants;10;;;
540;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Remplacement;11;;;
541;Budget général;1;Enseignement scolaire;EC;Enseignement privé du premier et du second degrés;139;Soutien;12;;;
542;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du premier degré;140;Enseignement pré-élémentaire;01;;;
543;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du premier degré;140;Enseignement élémentaire;02;;;
544;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du premier degré;140;Besoins éducatifs particuliers;03;;;
545;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du premier degré;140;Formation des personnels enseignants;04;;;
546;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du premier degré;140;Remplacement;05;;;
547;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du premier degré;140;Pilotage et encadrement pédagogique;06;;;
548;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du premier degré;140;Personnels en situations diverses;07;;;
549;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Enseignement en collège;01;;;
550;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Enseignement général et technologique en lycée;02;;;
551;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Enseignement professionnel sous statut scolaire;03;;;
552;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Apprentissage;04;;;
553;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Enseignement post-baccalauréat en lycée;05;;;
554;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Besoins éducatifs particuliers;06;;;
555;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Aide à l'insertion professionnelle;07;;;
556;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Information et orientation;08;;;
557;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Formation continue des adultes et validation des acquis de l'expérience;09;;;
558;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Formation des personnels enseignants et d'orientation;10;;;
559;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Remplacement;11;;;
560;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Pilotage, administration et encadrement pédagogique;12;;;
561;Budget général;1;Enseignement scolaire;EC;Enseignement scolaire public du second degré;141;Personnels en situations diverses;13;;;
562;Budget général;1;Enseignement scolaire;EC;Enseignement technique agricole;143;Mise en oeuvre de l'enseignement dans les établissements publics;01;;;
563;Budget général;1;Enseignement scolaire;EC;Enseignement technique agricole;143;Mise en oeuvre des enseignements dans les établissements privés;02;;;
564;Budget général;1;Enseignement scolaire;EC;Enseignement technique agricole;143;Aide sociale aux élèves (enseignement public et privé);03;;;
565;Budget général;1;Enseignement scolaire;EC;Enseignement technique agricole;143;Évolution des compétences et dynamique territoriale;04;;;
566;Budget général;1;Enseignement scolaire;EC;Enseignement technique agricole;143;Moyens communs à l'enseignement technique agricole, public et privé;05;;;
567;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Pilotage et mise en oeuvre des politiques éducatives;01;;;
568;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Évaluation et contrôle;02;;;
569;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Communication;03;;;
570;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Expertise juridique;04;;;
571;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Action internationale;05;;;
572;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Politique des ressources humaines;06;;;
573;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Établissements d'appui de la politique éducative;07;;;
574;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Logistique, système d'information, immobilier;08;;;
575;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Certification;09;;;
576;Budget général;1;Enseignement scolaire;EC;Soutien de la politique de l'éducation nationale;214;Transports scolaires;10;;;
577;Budget général;1;Enseignement scolaire;EC;Vie de l'élève;230;Vie scolaire et éducation à la responsabilité;01;;;
578;Budget général;1;Enseignement scolaire;EC;Vie de l'élève;230;Santé scolaire;02;;;
579;Budget général;1;Enseignement scolaire;EC;Vie de l'élève;230;Inclusion scolaire des élèves en situation de handicap;03;;;
580;Budget général;1;Enseignement scolaire;EC;Vie de l'élève;230;Action sociale;04;;;
581;Budget général;1;Enseignement scolaire;EC;Vie de l'élève;230;Politique de l'internat et établissements à la charge de l'Etat;05;;;
582;Budget général;1;Enseignement scolaire;EC;Vie de l'élève;230;Actions éducatives complémentaires aux enseignements;06;;;
583;Budget général;1;Gestion des finances publiques et des ressources humaines;GA;Fonction publique;148;Formation des fonctionnaires;01;;;
584;Budget général;1;Gestion des finances publiques et des ressources humaines;GA;Fonction publique;148;Action sociale interministérielle;02;;;
