GESTION;2017;;;;;;;;
TYPE BUDGET;Comptes d'affectation spéciale;;;;;;;;
;;;;;;Données;;;
Pensions;742;4;Gestion du régime;;;7 900 000;7 681 000;7 900 000;7 681 000
Pensions;742;5;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);;;56 140 000;57 315 000;56 140 000;57 315 000
Pensions;743;1;Reconnaissance de la Nation;;;757 364 000;749 263 500;757 364 000;749 263 500
Pensions;743;2;Réparation;;;1 189 720 000;1 147 350 000;1 189 720 000;1 147 350 000
Pensions;743;3;Pensions d'Alsace-Lorraine;;;16 000 000;16 000 000;16 000 000;16 000 000
Pensions;743;4;Allocations de reconnaissance des anciens supplétifs;;;15 300 000;15 070 000;15 300 000;15 070 000
Pensions;743;5;Pensions des anciens agents du chemin de fer franco-éthiopien;;;56 226;53 281;56 226;53 281
Pensions;743;6;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;;;12 438 000;12 870 000;12 438 000;12 870 000
Pensions;743;7;Pensions de l'ORTF;;;280 000;250 000;280 000;250 000
Services nationaux de transport conventionnés de voyageurs;785;1;Contribution à lexploitation des services nationaux de transport conventionnés;;;216 200 000;257 000 000;216 200 000;257 000 000
Services nationaux de transport conventionnés de voyageurs;785;2;Frais d'enquêtes, d'études et de conseil relatifs à l'exploitation des services nationaux de transport conventionnés;;;800 000;1 000 000;800 000;1 000 000
Services nationaux de transport conventionnés de voyageurs;786;1;Contribution au matériel roulant des services nationaux de transport conventionnés;;;117 800 000;100 000 000;117 800 000;100 000 000
Services nationaux de transport conventionnés de voyageurs;786;2;Frais d'enquêtes, d'études et de conseil relatifs au matériel roulant des services nationaux de transport conventionnés;;;200 000;0;200 000;0
Transition énergétique;764;1;Soutien aux énergies renouvelables électriques;;;3 633 000 000;5 630 300 000;3 633 000 000;5 630 300 000
Transition énergétique;764;2;Soutien à l'effacement de consommation électrique;;;0;0;0;0
Transition énergétique;764;3;Soutien à l'injection de bio-méthane;;;17 000 000;49 900 000;17 000 000;49 900 000
Transition énergétique;765;1;Désendettement vis-à-vis des opérateurs supportant des charges de service public de l'électricité;;;194 000 000;1 228 000 000;194 000 000;1 228 000 000
Transition énergétique;765;2;Versement au profit du budget général correspondant aux montants des remboursements et dégrèvements au titre de la TICFE;;;0;0;0;0
Transition énergétique;765;3;Versements au profit de la CDC correspondant à des remboursements partiels de CSPE;;;530 000 000;75 000 000;530 000 000;75 000 000
